+-----+-------------------------------------------------------------------------------------------------------------------+--------------+------------+-----------------------------------------------+----------------------------------+----------------------+--------------+
|     | principal                                                                                                         |   catalog_id | resource   | database_name                                 | table_name                       | table_with_columns   | permission   |
|  30 | arn:aws:iam::849495627007:role/SageMaker-S3-CodeCommit-Role                                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | false                | DROP         |
|  31 | arn:aws:iam::849495627007:role/SageMaker-S3-CodeCommit-Role                                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | false                | INSERT       |
|  32 | arn:aws:iam::849495627007:role/SageMaker-S3-CodeCommit-Role                                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | true                 | SELECT       |
|  33 | arn:aws:iam::849495627007:role/sdlf-lakeformation-admin                                                           | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | false                | ALTER        |
|  34 | arn:aws:iam::849495627007:role/sdlf-lakeformation-admin                                                           | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | false                | DELETE       |
|  35 | arn:aws:iam::849495627007:role/sdlf-lakeformation-admin                                                           | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | false                | INSERT       |
|  36 | arn:aws:iam::849495627007:role/sdlf-lakeformation-admin                                                           | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | true                 | SELECT       |
|  37 | IAM_ALLOWED_PRINCIPALS                                                                                            | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | agg_transactions_hour            | false                | ALL          |
|  39 | arn:aws:iam::849495627007:role/state-machine/sdlf-digitalsbx-main-process-a                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | false                | ALL          |
|  40 | arn:aws:iam::849495627007:role/state-machine/sdlf-digitalsbx-main-process-a                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | false                | ALTER        |
|  41 | arn:aws:iam::849495627007:role/state-machine/sdlf-digitalsbx-main-process-a                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | false                | DELETE       |
|  42 | arn:aws:iam::849495627007:role/state-machine/sdlf-digitalsbx-main-process-a                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | false                | DESCRIBE     |
|  43 | arn:aws:iam::849495627007:role/state-machine/sdlf-digitalsbx-main-process-a                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | false                | DROP         |
|  44 | arn:aws:iam::849495627007:role/state-machine/sdlf-digitalsbx-main-process-a                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | false                | INSERT       |
|  45 | arn:aws:iam::849495627007:role/state-machine/sdlf-digitalsbx-main-process-a                                       | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | true                 | SELECT       |
|  46 | arn:aws:iam::849495627007:role/sdlf-lakeformation-admin                                                           | 849495627007 | table      | arcosmkt_datalake_dev_digitalsbx_gigigosbx_db | campaigntag                      | false                | ALTER        |
