+------+-------------------------------------------------------------------------------------------------------------------+--------------+------------+-------------------------------------------+--------------------------------+--------------+
|      | principal                                                                                                         |   catalog_id | resource   | database_name                             | table_name                     | permission   |
|   33 | arn:aws:iam::821879089030:role/state-machine/sdlf-core-np-process-c                                               | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | DELETE       |
|   34 | arn:aws:iam::821879089030:role/state-machine/sdlf-core-np-process-c                                               | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | DESCRIBE     |
|   35 | arn:aws:iam::821879089030:role/state-machine/sdlf-core-np-process-c                                               | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | DROP         |
|   36 | arn:aws:iam::821879089030:role/state-machine/sdlf-core-np-process-c                                               | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | INSERT       |
|   37 | arn:aws:iam::821879089030:role/state-machine/sdlf-core-np-process-c                                               | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | SELECT       |
|   38 | arn:aws:iam::821879089030:role/sdlf-core-cicd-codebuild                                                           | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | ALL          |
|   39 | arn:aws:iam::821879089030:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AdministratorAccess_a713348ce7eb95df | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | ALL          |
|   40 | arn:aws:iam::821879089030:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AdministratorAccess_a713348ce7eb95df | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | ALTER        |
|   41 | arn:aws:iam::821879089030:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AdministratorAccess_a713348ce7eb95df | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | DELETE       |
|   42 | arn:aws:iam::821879089030:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AdministratorAccess_a713348ce7eb95df | 821879089030 | table      | arcosdorados_datalake_core_flexcash_db    | ALL_TABLES                     | DESCRIBE     |
